Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.827432000000000,0,'160' (0xA0),'0' (0x00),Write,ACK
0.827456500000000,0,'160' (0xA0),'0' (0x00),Write,ACK
0.838218500000000,1,'160' (0xA0),'255' (0xFF),Read,ACK
0.838242500000000,1,'160' (0xA0),'255' (0xFF),Read,ACK
0.838267000000000,1,'160' (0xA0),'255' (0xFF),Read,ACK
0.838292000000000,1,'160' (0xA0),'255' (0xFF),Read,ACK
0.838316000000000,1,'160' (0xA0),'255' (0xFF),Read,ACK
0.838340500000000,1,'160' (0xA0),'255' (0xFF),Read,NAK
0.839321000000000,2,'160' (0xA0),'11' (0x0B),Write,ACK
0.839345500000000,2,'160' (0xA0),'144' (0x90),Write,ACK
0.850113500000000,3,'160' (0xA0),'149' (0x95),Read,ACK
0.850138000000000,3,'160' (0xA0),'21' (0x15),Read,ACK
0.850162000000000,3,'160' (0xA0),1 (0x31),Read,ACK
0.850187500000000,3,'160' (0xA0),2 (0x32),Read,ACK
0.850211500000000,3,'160' (0xA0),3 (0x33),Read,ACK
0.850236000000000,3,'160' (0xA0),4 (0x34),Read,NAK
0.851147000000000,4,'160' (0xA0),'11' (0x0B),Write,ACK
0.851171500000000,4,'160' (0xA0),'144' (0x90),Write,ACK
0.861933000000000,5,'160' (0xA0),'149' (0x95),Read,ACK
0.861957500000000,5,'160' (0xA0),'21' (0x15),Read,ACK
0.861981500000000,5,'160' (0xA0),1 (0x31),Read,ACK
0.862007000000000,5,'160' (0xA0),2 (0x32),Read,ACK
0.862031000000000,5,'160' (0xA0),3 (0x33),Read,ACK
0.862055000000000,5,'160' (0xA0),4 (0x34),Read,ACK
0.862079500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862104000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862128000000000,5,'160' (0xA0),'149' (0x95),Read,ACK
0.862153000000000,5,'160' (0xA0),'160' (0xA0),Read,ACK
0.862178000000000,5,'160' (0xA0),'5' (0x05),Read,ACK
0.862202500000000,5,'160' (0xA0),'155' (0x9B),Read,ACK
0.862226500000000,5,'160' (0xA0),P (0x50),Read,ACK
0.862250500000000,5,'160' (0xA0),h (0x68),Read,ACK
0.862275000000000,5,'160' (0xA0),i (0x69),Read,ACK
0.862299000000000,5,'160' (0xA0),l (0x6C),Read,ACK
0.862323500000000,5,'160' (0xA0),i (0x69),Read,ACK
0.862348500000000,5,'160' (0xA0),p (0x70),Read,ACK
0.862373000000000,5,'160' (0xA0),s (0x73),Read,ACK
0.862397000000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862421500000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862445500000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862470000000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862494500000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862518500000000,5,'160' (0xA0),D (0x44),Read,ACK
0.862543000000000,5,'160' (0xA0),U (0x55),Read,ACK
0.862567000000000,5,'160' (0xA0),A (0x41),Read,ACK
0.862591500000000,5,'160' (0xA0),L (0x4C),Read,ACK
0.862615500000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862640000000000,5,'160' (0xA0),B (0x42),Read,ACK
0.862664500000000,5,'160' (0xA0),A (0x41),Read,ACK
0.862688500000000,5,'160' (0xA0),N (0x4E),Read,ACK
0.862713000000000,5,'160' (0xA0),D (0x44),Read,ACK
0.862737000000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862761500000000,5,'160' (0xA0),' ' (0x20),Read,ACK
0.862785500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862810000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862834000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862858500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862882500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862907000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862931000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862955500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.862979500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863003500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863028000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863052000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863076500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863100500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863125000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863149000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863173500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863197500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863222000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863246000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863270500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863294500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863319000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863343000000000,5,'160' (0xA0),'7' (0x07),Read,ACK
0.863367500000000,5,'160' (0xA0),'145' (0x91),Read,ACK
0.863391500000000,5,'160' (0xA0),'131' (0x83),Read,ACK
0.863416000000000,5,'160' (0xA0),` (0x60),Read,ACK
0.863440000000000,5,'160' (0xA0),w (0x77),Read,ACK
0.863464000000000,5,'160' (0xA0),p (0x70),Read,ACK
0.863488500000000,5,'160' (0xA0),'149' (0x95),Read,ACK
0.863512500000000,5,'160' (0xA0),'19' (0x13),Read,ACK
0.863537000000000,5,'160' (0xA0),'255' (0xFF),Read,ACK
0.863561000000000,5,'160' (0xA0),'255' (0xFF),Read,ACK
0.863585500000000,5,'160' (0xA0),'255' (0xFF),Read,ACK
0.863609500000000,5,'160' (0xA0),'255' (0xFF),Read,ACK
0.863634000000000,5,'160' (0xA0),'255' (0xFF),Read,ACK
0.863658000000000,5,'160' (0xA0),'22' (0x16),Read,ACK
0.863682500000000,5,'160' (0xA0),) (0x29),Read,ACK
0.863706500000000,5,'160' (0xA0),@ (0x40),Read,ACK
0.863731000000000,5,'160' (0xA0),! (0x21),Read,ACK
0.863755000000000,5,'160' (0xA0),'3' (0x03),Read,ACK
0.863779500000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863803500000000,5,'160' (0xA0),'146' (0x92),Read,ACK
0.863828000000000,5,'160' (0xA0),u (0x75),Read,ACK
0.863852000000000,5,'160' (0xA0),P (0x50),Read,ACK
0.863876500000000,5,'160' (0xA0),1 (0x31),Read,ACK
0.863900500000000,5,'160' (0xA0),1 (0x31),Read,ACK
0.863925000000000,5,'160' (0xA0),2 (0x32),Read,ACK
0.863949000000000,5,'160' (0xA0),'0' (0x00),Read,ACK
0.863973000000000,5,'160' (0xA0),R (0x52),Read,ACK
0.863997500000000,5,'160' (0xA0),'245' (0xF5),Read,ACK
